LON;LAT;OBJECTID;CUI;CUEANEXO;CUE;ANEXO;SECTOR;DOM_EDIFIC;DOM_ESTABL;NOMB_EST;NOMB_ABR;TELEFONO;EMAIL;CODPOST;PAGINAWEB;NIVMOD;NIVELMODAL;DEPFUN;DE;COMUNA;BARRIO;AREAPROGRA;ESTADO;POINT_X;POINT_Y;NIVEL;TIPEST
-58.5127015868307;-34.600585579493;1;200794;20046500;200465;0;1;MERCEDES 4002;MERCEDES 4002;CENTRO EDUCATIVO DE NIVEL SECUNDARIO N° 65;CENS 65;4501-9054;DEAA_CENS65_DE1@BUE.EDU.AR;C1419;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/ADULTOS/SECUNDARIA;SECADU;NIVEL SECUNDARIO DE JOVENES Y ADULTOS;DIR DE EDUCACION DEL ADULTO Y DEL ADOLESCENTE;17;11;VILLA DEVOTO;12 - HOSP ZUBIZARRETA;1;9.546.838.350.000.000;10.318.093.010.000.000;SECUNDARIO DE JOVENES Y ADULTOS;CENS (CENTRO EDUCATIVO DE NIVEL SECUNDARIO)
-58.4095720793038;-34.6275450762093;2;202368;20146700;201467;0;2;CONSTITUCION 3156;CONSTITUCION 3156;INST. 9 DE JULIO;I 9 DE JULIO;4931-9299;INSTITUTOPRIVADO9DEJULIO@YAHOO.COM.AR;C1254;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;SECCOM;NIVEL SECUNDARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;6;3;SAN CRISTOBAL;08 - HOSP RAMOS MEJIA;1;10.492.682.829.999.900;10.019.007.170.000.000;SECUNDARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4701920657306;-34.5656755865268;3;202343;20055900;200559;0;1;BLANCO ENCALADA 3479;BLANCO ENCALADA 3471;ESCUELA INFANTIL N° 06/10° MADRE EUFRASIA IACONIS;EI 06/10;4545-3354;EI6_10@YAHOO.COM.AR;C1430;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;10;13;BELGRANO;07 - HOSP PIROVANO;1;9.936.747.400.000.000;10.705.470.920.000.000;INICIAL COMUN;EI (ESCUELA INFANTIL)
-58.4003567653869;-34.5848468758467;4;200063;20290700;202907;0;1;AVDA. GRAL. LAS HERAS 2670;AVDA. GRAL. LAS HERAS 2670;ESCUELA INFANTIL N° 08/01°;EI 08/01;4804-9003;DEI_EI8DE1@BUE.EDU.AR / ESCUELAINFANTIL8DE1@GMAIL.COM;C1425;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;1;2;RECOLETA;04 - HOSP FERNANDEZ;1;10.577.479.859.999.900;10.492.624.360.000.000;INICIAL COMUN;EI (ESCUELA INFANTIL)
-58.42654700069;-34.6033788550838;5;200084;20147803;201478;3;1;OBRERO ROBERTO NUÑEZ 4355;OBRERO ROBERTO NUÑEZ 4355;JARDIN DE INFANTES NUCLEADO C (EPCJC 11/02°);JIN C (11);4867-2749;JINCCDE02@YAHOO.COM.AR;C1429;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;2;5;ALMAGRO;03 - HOSP DURAND;1;10.337.119.110.000.000;10.287.160.520.000.000;INICIAL COMUN;JIN (JARDIN DE INFANTES NUCLEADO)
-58.4679537700269;-34.6208161377736;6;200588;20022003;200220;3;1;GRAL. JOSE GERVASIO DE ARTIGAS 878;GRAL. JOSE GERVASIO DE ARTIGAS 878;JARDIN DE INFANTES NUCLEADO A (EPCJC 05/12°);JIN A (05);4611-5436;JINADE12@YAHOO.COM.AR;C1404;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;12;7;FLORES;01 - HOSP ALVAREZ;1;9.957.319.610.000.000;10.093.780.860.000.000;INICIAL COMUN;JIN (JARDIN DE INFANTES NUCLEADO)
-58.4792055548214;-34.6161634167228;7;200602;20147003;201470;3;1;REMEDIOS DE ESCALADA DE SAN MARTIN 2986;REMEDIOS DE ESCALADA DE SAN MARTIN 2986;JARDIN DE INFANTES NUCLEADO B (EPCJS 25/12°);JIN B (25);4586-8766;JINBDE12@GMAIL.COM;C1416;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;12;11;VILLA SANTA RITA;01 - HOSP ALVAREZ;1;9.854.124.120.000.000;10.145.384.030.000.000;INICIAL COMUN;JIN (JARDIN DE INFANTES NUCLEADO)
-58.4542924673157;-34.5922954562596;8;200662;20165802;201658;2;1;AVDA. JORGE NEWBERY 4436;AVDA. JORGE NEWBERY 4436;JARDIN DE INFANTES NUCLEADO B (EPCJC 08/14°);JIN B (08);4854-7859;JDEI_JINB1_@BUE.EDU.AR;C1427;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;14;15;CHACARITA;10 - HOSP TORNU;1;10.082.630.050.000.000;10.410.168.420.000.000;INICIAL COMUN;JIN (JARDIN DE INFANTES NUCLEADO)
-58.4874410874275;-34.6278086583641;9;200839;20161600;201616;0;1;MORON 4149;MORON 4149;COLEGIO N° 18 DR. ALBERTO LARROQUE;COL 18;4671-3819;DEM_COL18_DE18@BUE.EDU.AR;C1407;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/SECUNDARIO/CONTACTO?MENU_ID=18231;SECCOM;NIVEL SECUNDARIO COMUN;DIR DE EDUCACION MEDIA;18;10;FLORESTA;01 - HOSP ALVAREZ;1;9.778.625.780.000.000;10.016.183.670.000.000;SECUNDARIO COMUN;COL (COLEGIO)
-58.4528025584817;-34.5416441888152;10;200523;20239800;202398;0;1;AVDA. CRISOLOGO LARRALDE 1050 (AVDA. MIGUEL SANCHEZ 1050);AVDA. CRISOLOGO LARRALDE 1050 (AVDA. MIGUEL SANCHEZ 1050);ESC. DE EDUCACION MEDIA N° 03/10°;EEM 03/10;4702-2028;DEM_EEM3_DE10@BUE.EDU.AR;C1429;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/SECUNDARIO/CONTACTO?MENU_ID=18231;SECCOM;NIVEL SECUNDARIO COMUN;DIR DE EDUCACION MEDIA;10;13;NUÑEZ;07 - HOSP PIROVANO;1;10.096.353.340.000.000;10.972.055.090.000.000;SECUNDARIO COMUN;EEM (ESCUELA DE EDUCACION MEDIA)
